                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.5275,                0.83727,                 1.1863,                 0.9175,                0.73009,                0.79791,                0.37475,                 1.8518,                 0.8329,                 1.4338,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.5172,                0.82815,                 1.1771,                0.89057,                0.70897,                 0.7672,                0.32041,                 2.0055,                0.89697,                 1.5145,               0.000614,               0.000614,               0.000614
                     72,                 1.5492,                0.84508,                  1.207,                 0.8937,                0.73742,                0.78285,                0.36427,                 1.7976,                0.83276,                 1.3974,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.5383,                0.86086,                 1.1975,                0.89418,                0.72114,                0.78186,                0.32837,                  2.013,                0.86191,                 1.5162,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4964,                0.82572,                  1.186,                0.88989,                0.70738,                0.77921,                0.32001,                 1.9926,                0.85874,                 1.5035,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.5243,                0.84636,                 1.1896,                0.88208,                0.73659,                0.77172,                0.35557,                 1.8422,                0.88834,                 1.4443,              0.0005348,              0.0005348,              0.0005348
                     76,                  1.499,                0.83893,                 1.1741,                0.89004,                0.72648,                0.77893,                0.35129,                 1.8787,                0.84867,                  1.435,               0.000515,               0.000515,               0.000515
                     77,                 1.5067,                0.84112,                 1.1868,                0.90694,                0.74642,                0.79068,                0.38996,                 1.6994,                0.81664,                 1.3648,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4727,                0.81819,                 1.1678,                0.85988,                0.72429,                0.73606,                0.28573,                 2.1145,                0.92577,                 1.5962,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.5083,                0.81923,                 1.1862,                0.89485,                 0.7221,                0.77693,                0.31171,                 2.0788,                0.86041,                  1.561,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5061,                 0.8268,                  1.184,                0.89253,                0.74398,                0.80173,                0.38718,                 1.7494,                0.80431,                 1.3829,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.4778,                0.82114,                 1.1764,                0.87975,                0.73085,                0.77311,                0.33028,                  1.971,                 0.8433,                 1.4877,               0.000416,               0.000416,               0.000416
                     82,                 1.4869,                 0.8329,                 1.1885,                 0.9038,                0.73523,                0.78326,                0.37614,                 1.7551,                0.83563,                 1.3845,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.493,                0.81014,                   1.18,                0.90931,                0.74594,                0.79691,                0.36268,                 1.8589,                0.81146,                 1.4286,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.4933,                0.80908,                 1.1628,                0.88126,                 0.7308,                 0.7787,                0.34561,                 1.8972,                0.83871,                 1.4568,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.4359,                0.80396,                 1.1517,                0.89809,                0.73281,                0.78551,                0.35615,                 1.8505,                0.82239,                 1.4257,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.4574,                0.80844,                  1.163,                0.89633,                0.73523,                0.79612,                0.34093,                 1.9564,                0.82668,                 1.4871,               0.000317,               0.000317,               0.000317
                     87,                 1.4722,                0.81937,                 1.1635,                0.87871,                0.74617,                0.77221,                0.31696,                 2.0449,                 0.8518,                 1.5424,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.4515,                0.80694,                 1.1575,                0.87469,                0.73085,                0.76233,                0.30338,                 2.0682,                0.88394,                 1.5587,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.438,                0.80479,                 1.1628,                0.87682,                0.74768,                0.79058,                0.34003,                 1.9382,                0.81676,                 1.4707,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.4522,                0.80292,                 1.1556,                0.88497,                0.74076,                0.78338,                0.34853,                  1.908,                0.83402,                 1.4599,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3888,                0.78558,                 1.1875,                0.90133,                0.73959,                0.80798,                0.39268,                 1.7653,                0.76433,                 1.3896,               0.000218,               0.000218,               0.000218
                     92,                 1.3509,                0.72754,                  1.159,                0.88452,                0.73304,                 0.8009,                0.38778,                  1.762,                 0.7697,                  1.395,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3601,                0.73958,                 1.1739,                0.92888,                0.74301,                0.81667,                0.40994,                 1.6767,                0.75422,                 1.3415,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.3069,                0.72162,                 1.1623,                0.91753,                0.73742,                0.81155,                0.39056,                 1.7621,                0.76313,                 1.3804,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.3249,                0.73209,                 1.1773,                0.90347,                0.73961,                0.80992,                0.42236,                 1.6384,                0.73779,                 1.3239,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.3272,                0.72068,                 1.1631,                0.90877,                0.74398,                0.81066,                0.40155,                 1.7293,                0.75319,                 1.3665,               0.000119,               0.000119,               0.000119
                     97,                 1.3062,                0.72506,                 1.1509,                0.91388,                0.74617,                0.81219,                0.41343,                 1.6793,                0.74324,                 1.3434,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3033,                 0.7182,                  1.144,                0.90426,                0.74406,                 0.8086,                0.40672,                 1.6947,                0.75145,                 1.3528,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2942,                0.71813,                 1.1489,                0.91038,                0.74617,                0.80724,                0.42238,                 1.6462,                0.73846,                 1.3267,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.2966,                0.71766,                  1.149,                0.91555,                0.74179,                0.80656,                0.42425,                 1.6392,                0.73836,                 1.3219,               3.98e-05,               3.98e-05,               3.98e-05
