                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.4026,                0.76337,                 1.1423,                0.93059,                0.74856,                0.82346,                0.36123,                 1.9193,                0.76955,                 1.4565,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.3947,                0.74928,                  1.133,                0.92562,                0.77655,                0.81785,                0.37618,                 1.8187,                 0.7478,                  1.424,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.3778,                0.76024,                 1.1289,                0.91262,                0.75461,                0.80664,                0.32668,                 2.0316,                0.82395,                 1.5372,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.3704,                 0.7472,                 1.1207,                0.90087,                0.75862,                 0.8061,                0.32082,                 2.1183,                0.80709,                 1.6016,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.3781,                0.74802,                  1.122,                0.90955,                0.74309,                0.80617,                0.33376,                 2.0213,                0.79198,                 1.5345,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.3877,                 0.7549,                  1.131,                0.92273,                0.75041,                0.81171,                0.34227,                 1.9813,                0.79665,                 1.5026,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.3892,                0.76954,                 1.1364,                0.90633,                0.77011,                0.81857,                0.34295,                 1.9476,                0.78105,                 1.4723,               0.000911,               0.000911,               0.000911
                    112,                 1.3541,                 0.7343,                 1.1189,                0.92648,                0.71757,                0.80116,                0.30543,                 2.1292,                0.81892,                 1.5964,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.3707,                0.73982,                 1.1237,                0.90431,                 0.7449,                0.80664,                0.35486,                 1.8891,                 0.7831,                 1.4572,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.3682,                 0.7489,                 1.1279,                0.90753,                 0.7422,                0.80682,                 0.3235,                 2.0489,                0.80879,                 1.5468,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.3614,                0.74343,                 1.1213,                0.92555,                0.74877,                0.81499,                0.37254,                  1.865,                0.76862,                 1.4332,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.3665,                0.75036,                 1.1236,                0.90337,                0.76355,                0.81423,                0.38403,                 1.7741,                 0.7523,                 1.3985,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.3404,                0.72975,                 1.1132,                 0.9114,                0.75369,                0.81314,                0.36152,                 1.8975,                0.79134,                 1.4459,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.3402,                0.73184,                 1.1171,                0.90715,                0.74877,                0.80696,                0.34959,                 1.9454,                0.77405,                 1.4916,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.3476,                0.72763,                 1.1139,                0.87743,                0.72578,                0.77898,                0.26654,                 2.2982,                 0.8491,                 1.7129,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.3354,                0.71486,                 1.1103,                0.90249,                0.74548,                0.80671,                0.33618,                 1.9997,                0.78899,                 1.5146,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.3149,                0.71419,                 1.1006,                0.92458,                0.74384,                0.81421,                0.32578,                 2.0599,                0.81001,                 1.5633,               0.000812,               0.000812,               0.000812
                    122,                 1.3291,                0.72186,                 1.1151,                0.92926,                0.75041,                0.82422,                0.36466,                 1.8837,                0.75071,                 1.4537,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.3629,                0.73045,                 1.1236,                0.90741,                0.75369,                0.80407,                 0.3159,                 2.0721,                 0.8055,                 1.5631,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.3319,                0.73833,                 1.1105,                0.90306,                0.75698,                0.81092,                0.34706,                 1.9581,                0.78941,                 1.4933,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.3344,                0.73134,                 1.1168,                0.88404,                0.73855,                0.78584,                0.29076,                 2.1686,                0.81969,                 1.6187,              0.0007724,              0.0007724,              0.0007724
